refdes,pin,voltage,current,rpin
VCOMP13,VCOMP13-13,0.00129232,0.0116609,3.48214
VCOMP13,VCOMP13-14,0.00131253,0.0116551,3.48214
VCOMP13,VCOMP13-15,0.00130731,0.0116566,3.48214
VCOMP14,VCOMP14-0,3.29957,-0.0505007,2.28571
VCOMP14,VCOMP14-1,3.29943,-0.0504382,2.28571
VCOMP14,VCOMP14-2,3.29942,-0.0504347,2.28571
VCOMP14,VCOMP14-3,3.29774,-0.0496985,2.28571
VCOMP14,VCOMP14-4,3.29776,-0.0497076,2.28571
VCOMP14,VCOMP14-5,3.29774,-0.0496977,2.28571
VCOMP14,VCOMP14-6,3.29777,-0.0497115,2.28571
VCOMP14,VCOMP14-7,3.29816,-0.0498828,2.28571
VCOMP14,VCOMP14-8,3.29826,-0.0499292,2.28571
VCOMP14,VCOMP14-9,0.00187366,0.04093,2.28571
VCOMP14,VCOMP14-10,0.00193592,0.0409027,2.28571
VCOMP14,VCOMP14-11,0.00194848,0.0408973,2.28571
VCOMP14,VCOMP14-12,0.00192007,0.0409097,2.28571
VCOMP14,VCOMP14-13,0.00192064,0.0409094,2.28571
VCOMP14,VCOMP14-14,0.00191929,0.04091,2.28571
VCOMP14,VCOMP14-15,0.00191977,0.0409098,2.28571
VCOMP14,VCOMP14-16,0.00188561,0.0409248,2.28571
VCOMP14,VCOMP14-17,0.00197687,0.0408848,2.28571
VCOMP14,VCOMP14-18,0.00190872,0.0409146,2.28571
VCOMP14,VCOMP14-19,0.00192461,0.0409077,2.28571
VCOMP14,VCOMP14-20,0,0,2.28571
VCOMP15,VCOMP15-0,3.29824,-0.0350146,3.57143
VCOMP15,VCOMP15-1,3.29814,-0.0349882,3.57143
VCOMP15,VCOMP15-2,3.29817,-0.0349971,3.57143
VCOMP15,VCOMP15-3,0.00183212,0.0262517,3.57143
VCOMP15,VCOMP15-4,0.00183377,0.0262512,3.57143
VCOMP15,VCOMP15-5,0,0,3.57143
VCOMP15,VCOMP15-6,0.00183448,0.026251,3.57143
VCOMP15,VCOMP15-7,0.00185239,0.026246,3.57143
VCOMP16,VCOMP16-0,4.99624,-5e-05,2000
VCOMP16,VCOMP16-1,4.99624,-5e-05,2000
VCOMP16,VCOMP16-2,0.000173616,4.99826e-05,2000
VCOMP16,VCOMP16-3,0.000104204,5.00174e-05,2000
VCOMP17,VCOMP17-0,4.98784,-0.0001,1000
VCOMP17,VCOMP17-1,0.00163793,0.0001,1000
VCOMP18,VCOMP18-0,2.49964,-0.0001,1000
VCOMP18,VCOMP18-1,0.000621993,0.0001,1000
VCOMP19,VCOMP19-0,4.98913,-0.0001,1000
VCOMP19,VCOMP19-1,0.00174795,0.0001,1000
VCOMP20,VCOMP20-0,4.99413,-5e-05,2000
VCOMP20,VCOMP20-1,4.99413,-5e-05,2000
VCOMP20,VCOMP20-2,0.000861907,0.0001,2000
VCOMP21,VCOMP21-0,3.29911,-5e-05,2000
VCOMP21,VCOMP21-1,3.29911,-5e-05,2000
VCOMP21,VCOMP21-2,0.00149597,0.0001,2000
VCOMP22,VCOMP22-0,4.98743,-5e-05,2000
VCOMP22,VCOMP22-1,4.98743,-5e-05,2000
VCOMP22,VCOMP22-2,0.00179304,4.99981e-05,2000
VCOMP22,VCOMP22-3,0.00178536,5.00019e-05,2000
VCOMP24,VCOMP24-0,13.202,-0.370767,0.323707
VCOMP24,VCOMP24-1,13.2019,-0.370644,0.323707
VCOMP24,VCOMP24-2,-0.000111179,0.247137,0.323707
VCOMP24,VCOMP24-3,-0.000111179,0.247137,0.323707
VCOMP24,VCOMP24-4,-0.000111179,0.247137,0.323707
VCOMP25,VCOMP25-0,4.99624,-0.1725,0
VCOMP25,VCOMP25-1,4.99624,-0.1725,0
VCOMP25,VCOMP25-2,3.30009,0.345,0
VCOMP26,VCOMP26-0,4.98784,-0.4401,0
VCOMP26,VCOMP26-1,2.50008,0.4401,0
VCOMP27,VCOMP27-0,2.49964,-0.4,0
VCOMP27,VCOMP27-1,1.21233,0.4,0
VCOMP28,VCOMP28-0,4.98913,-0.13,0
VCOMP28,VCOMP28-1,3.30009,0.13,0
VCOMP29,VCOMP29-0,4.99413,-0.09755,0
VCOMP29,VCOMP29-1,4.99413,-0.09755,0
VCOMP29,VCOMP29-2,3.30009,0.1951,0
VCOMP30,VCOMP30-0,3.29911,-0.07,0
VCOMP30,VCOMP30-1,3.29911,-0.07,0
VCOMP30,VCOMP30-2,1.80605,0.14,0
VCOMP31,VCOMP31-0,4.98743,-0.2775,0
VCOMP31,VCOMP31-1,4.98743,-0.2775,0
VCOMP31,VCOMP31-2,3.30009,0.555,0
VCOMP32,VCOMP32-0,13.7993,-0.370706,6.66667e-07
VCOMP32,VCOMP32-1,13.7993,-0.370706,6.66667e-07
VCOMP32,VCOMP32-2,13.2993,0.741411,6.66667e-07
VCOMP33,VCOMP33-0,13.2993,-0.741412,0.065
VCOMP33,VCOMP33-1,13.2029,0.741412,0.065
