refdes,pin,voltage,current,rpin
VCOMP11,VCOMP11-1,0.00187552,0.0650001,1.53846
VCOMP12,VCOMP12-0,3.29959,-0.0109827,13.1313
VCOMP12,VCOMP12-1,3.29964,-0.0109858,13.1313
VCOMP12,VCOMP12-2,3.29963,-0.0109856,13.1313
VCOMP12,VCOMP12-3,3.30012,-0.0110227,13.1313
VCOMP12,VCOMP12-4,3.30013,-0.0110232,13.1313
VCOMP12,VCOMP12-5,0.00124026,0.0045858,13.1313
VCOMP12,VCOMP12-6,0.00100017,0.00460408,13.1313
VCOMP12,VCOMP12-7,0.00134509,0.00457781,13.1313
VCOMP12,VCOMP12-8,0.00135928,0.00457673,13.1313
VCOMP12,VCOMP12-9,0.0012771,0.00458299,13.1313
VCOMP12,VCOMP12-10,0.0012771,0.00458299,13.1313
VCOMP12,VCOMP12-11,0,0,13.1313
VCOMP12,VCOMP12-12,0.00127731,0.00458297,13.1313
VCOMP12,VCOMP12-13,0.00127824,0.0045829,13.1313
VCOMP12,VCOMP12-14,0.00130275,0.00458104,13.1313
VCOMP12,VCOMP12-15,0.00129265,0.00458181,13.1313
VCOMP12,VCOMP12-16,0.00131286,0.00458027,13.1313
VCOMP12,VCOMP12-17,0.00130764,0.00458066,13.1313
VCOMP13,VCOMP13-0,1.80247,-0.0465852,3.48214
VCOMP13,VCOMP13-1,1.80289,-0.0467074,3.48214
VCOMP13,VCOMP13-2,1.80289,-0.0467074,3.48214
VCOMP13,VCOMP13-3,0.00124026,0.0116759,3.48214
VCOMP13,VCOMP13-4,0.00100017,0.0117449,3.48214
VCOMP13,VCOMP13-5,0.00134509,0.0116458,3.48214
VCOMP13,VCOMP13-6,0.00135928,0.0116418,3.48214
VCOMP13,VCOMP13-7,0.0012771,0.0116654,3.48214
VCOMP13,VCOMP13-8,0.0012771,0.0116654,3.48214
VCOMP13,VCOMP13-9,0,0,3.48214
VCOMP13,VCOMP13-10,0.00127731,0.0116653,3.48214
VCOMP13,VCOMP13-11,0.00127824,0.011665,3.48214
VCOMP13,VCOMP13-12,0.00130275,0.011658,3.48214
VCOMP13,VCOMP13-13,0.00129265,0.0116609,3.48214
VCOMP13,VCOMP13-14,0.00131286,0.0116551,3.48214
VCOMP13,VCOMP13-15,0.00130764,0.0116566,3.48214
VCOMP14,VCOMP14-0,3.30127,-0.0505007,2.28571
VCOMP14,VCOMP14-1,3.30113,-0.0504382,2.28571
VCOMP14,VCOMP14-2,3.30112,-0.0504347,2.28571
VCOMP14,VCOMP14-3,3.29944,-0.0496985,2.28571
VCOMP14,VCOMP14-4,3.29946,-0.0497076,2.28571
VCOMP14,VCOMP14-5,3.29944,-0.0496977,2.28571
VCOMP14,VCOMP14-6,3.29947,-0.0497115,2.28571
VCOMP14,VCOMP14-7,3.29986,-0.0498828,2.28571
VCOMP14,VCOMP14-8,3.29996,-0.0499292,2.28571
VCOMP14,VCOMP14-9,0.00187391,0.04093,2.28571
VCOMP14,VCOMP14-10,0.00193618,0.0409027,2.28571
VCOMP14,VCOMP14-11,0.00194873,0.0408973,2.28571
VCOMP14,VCOMP14-12,0.00192033,0.0409097,2.28571
VCOMP14,VCOMP14-13,0.0019209,0.0409094,2.28571
VCOMP14,VCOMP14-14,0.00191955,0.04091,2.28571
VCOMP14,VCOMP14-15,0.00192003,0.0409098,2.28571
VCOMP14,VCOMP14-16,0.00188588,0.0409248,2.28571
VCOMP14,VCOMP14-17,0.00197715,0.0408848,2.28571
VCOMP14,VCOMP14-18,0.00190899,0.0409146,2.28571
VCOMP14,VCOMP14-19,0.00192486,0.0409077,2.28571
VCOMP14,VCOMP14-20,0,0,2.28571
VCOMP15,VCOMP15-0,3.29994,-0.0350146,3.57143
VCOMP15,VCOMP15-1,3.29984,-0.0349882,3.57143
VCOMP15,VCOMP15-2,3.29987,-0.0349971,3.57143
VCOMP15,VCOMP15-3,0.00183239,0.0262517,3.57143
VCOMP15,VCOMP15-4,0.00183405,0.0262512,3.57143
VCOMP15,VCOMP15-5,0,0,3.57143
VCOMP15,VCOMP15-6,0.00183475,0.026251,3.57143
VCOMP15,VCOMP15-7,0.00185266,0.026246,3.57143
VCOMP16,VCOMP16-0,4.99624,-5e-05,2000
VCOMP16,VCOMP16-1,4.99624,-5e-05,2000
VCOMP16,VCOMP16-2,0.000173961,4.99826e-05,2000
VCOMP16,VCOMP16-3,0.000104543,5.00174e-05,2000
VCOMP17,VCOMP17-0,4.98784,-0.0001,1000
VCOMP17,VCOMP17-1,0.0016382,0.0001,1000
VCOMP18,VCOMP18-0,2.5012,-0.0001,1000
VCOMP18,VCOMP18-1,0.000622245,0.0001,1000
VCOMP19,VCOMP19-0,4.98913,-0.0001,1000
VCOMP19,VCOMP19-1,0.00174826,0.0001,1000
VCOMP20,VCOMP20-0,4.99413,-5e-05,2000
VCOMP20,VCOMP20-1,4.99413,-5e-05,2000
VCOMP20,VCOMP20-2,0.000862269,0.0001,2000
VCOMP21,VCOMP21-0,3.29988,-5e-05,2000
VCOMP21,VCOMP21-1,3.29988,-5e-05,2000
VCOMP21,VCOMP21-2,0.00149628,0.0001,2000
VCOMP22,VCOMP22-0,4.98743,-5e-05,2000
VCOMP22,VCOMP22-1,4.98743,-5e-05,2000
VCOMP22,VCOMP22-2,0.00179331,4.99981e-05,2000
VCOMP22,VCOMP22-3,0.00178563,5.00019e-05,2000
VCOMP24,VCOMP24-0,13.2019,-0.371149,0.323374
VCOMP24,VCOMP24-1,13.2018,-0.371026,0.323374
VCOMP24,VCOMP24-2,-0.000110521,0.247392,0.323374
VCOMP24,VCOMP24-3,-0.000110521,0.247392,0.323374
VCOMP24,VCOMP24-4,-0.000110521,0.247392,0.323374
VCOMP25,VCOMP25-0,4.99624,-0.1725,0
VCOMP25,VCOMP25-1,4.99624,-0.1725,0
VCOMP25,VCOMP25-2,3.30014,0.345,0
VCOMP26,VCOMP26-0,4.98784,-0.4401,0
VCOMP26,VCOMP26-1,2.50164,0.4401,0
VCOMP27,VCOMP27-0,2.5012,-0.4,0
VCOMP27,VCOMP27-1,1.20754,0.4,0
VCOMP28,VCOMP28-0,4.98913,-0.13,0
VCOMP28,VCOMP28-1,3.30175,0.13,0
VCOMP29,VCOMP29-0,4.99413,-0.09755,0
VCOMP29,VCOMP29-1,4.99413,-0.09755,0
VCOMP29,VCOMP29-2,3.30086,0.1951,0
VCOMP30,VCOMP30-0,3.29988,-0.07,0
VCOMP30,VCOMP30-1,3.29988,-0.07,0
VCOMP30,VCOMP30-2,1.80335,0.14,0
VCOMP31,VCOMP31-0,4.98743,-0.2775,0
VCOMP31,VCOMP31-1,4.98743,-0.2775,0
VCOMP31,VCOMP31-2,3.30179,0.555,0
VCOMP32,VCOMP32-0,13.7993,-0.371087,6.66667e-07
VCOMP32,VCOMP32-1,13.7993,-0.371087,6.66667e-07
VCOMP32,VCOMP32-2,13.2993,0.742174,6.66667e-07
VCOMP33,VCOMP33-0,13.2993,-0.742175,0.065
VCOMP33,VCOMP33-1,13.2028,0.742175,0.065
